province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.1001","Tanjung Palas Hulu"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.1002","Tanjung Palas Tengah"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.1003","Tanjung Palas Hilir"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.1004","Karang Anyar"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.2005","Gunung Putih"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.2006","Pejalin"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.2007","Antutan"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.2008","Teras Baru"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.01","Tanjung Palas","65.01.01.2009","Teras Nawang"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.02","Tanjung Palas Barat","65.01.02.2001","Long Beluah"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.02","Tanjung Palas Barat","65.01.02.2002","Long Sam"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.02","Tanjung Palas Barat","65.01.02.2003","Mara I"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.02","Tanjung Palas Barat","65.01.02.2004","Mara Hilir"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.02","Tanjung Palas Barat","65.01.02.2005","Long Pari"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2001","Karang Agung"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2002","Pimping"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2003","Panca Agung"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2004","Ruhui Rahayu"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2005","Ardi Mulyo"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.03","Tanjung Palas Utara","65.01.03.2006","Kelubir"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.04","Tanjung Palas Timur","65.01.04.2001","Tanah Kuning"
"65","Kalimantan Utara","65.01","Kabupaten Bulungan","65.01.04","Tanjung Palas Timur","65.01.04.2002","Mangkupadi"
