province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.1004","Lempur Tengah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2001","Selam Paung"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2002","Air Mumu"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2003","Lempur Mudik"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2005","Masgo"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2006","Lempur Hilir"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2011","Kebun Baru"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2012","Perikan Tengah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2013","Dusun Baru Lempur"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2016","Sungaihangat"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2018","Manjunto Lempur"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.01","Gunung Raya","15.01.01.2019","Kebun Lima"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2001","Sanggaran Agung"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2002","Kota Baru Sanggaran Agung"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2003","Pendung Talang Genting"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2004","Seleman"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2005","Tebing Tinggi"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2006","Cupak"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2007","Tanjungtanah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2008","Koto Tengah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2013","Simpang Empat"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2014","Talang Kemulun"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2015","Dusun Baru Tanjung Tanah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2016","Pasar Sore Seleman"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.02","Danau Kerinci","15.01.02.2018","Tanjungharapan"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2008","Hiang Tinggi"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2009","Ambai Atas"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2010","Tanjungmudo"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2011","Pendung Tengah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2012","Pendung Hilir"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2013","Koto Baru Hiang"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2014","Betung Kuning"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2026","Ambai Bawah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2028","Hiang Karya"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2029","Hiang Lestari"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2030","Angkasa Pura"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2031","Hiang Sakti"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2033","Koto Sekilan Ambai"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.04","Sitinjau Laut","15.01.04.2034","Penawar Tinggi"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2002","Koto Baru Semurup"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2004","Koto Dua Lama"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2012","Koto Di Air"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2013","Pasar Semurup"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2014","Balai"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2015","Koto Majidin Hilir"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2016","Pendung Hilir"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2018","Pendung Mudik"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2022","Air Tenang"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2024","Muara Semerah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2029","Koto Majidin Mudik"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2035","Muara Semerah Mudik"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2036","Sawahan Koto Majidin"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2037","Sawahan Jaya"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2038","Koto Majidin Di Air"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.05","Air Hangat","15.01.05.2039","Pendung Tengah"
"15","Jambi","15.01","Kabupaten Kerinci","15.01.06","Gunung Kerinci","15.01.06.1009","Siulak Deras"
