province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.1001","Wamena Kota"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.1006","Sinapuk"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.1007","Sinakma"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2002","Honelama"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2003","Hulekama"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2004","Batu Merah"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2005","Autakma"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2008","Honelama Dua"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2009","Honaima"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2010","Lanitipo"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.01","Wamena","95.01.01.2011","Wamaroma"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2001","Jiwika"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2002","Mulima"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2003","Waga-Waga"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2004","Abusa"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2005","Eragama"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2006","Kumima"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2007","Menagaima"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2008","Iyantik"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2009","Umpagalo"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2010","Hopama"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2011","Obya"
"95","Papua Pegunungan","95.01","Kabupaten Jayawijaya","95.01.02","Kurulu","95.01.02.2012","Utkolo Satu"
