province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.1001","Makbon"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2002","Asbaken"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2003","Malaumkarta"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2004","Batu Lubang"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2005","Batu Lubang Pantai"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2006","Kwadas"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2007","Bainkete"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2008","Teluk Dore"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2009","Sawatuk"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2010","Malagasih"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2011","Klasimigik"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2012","Klasigi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2013","Klagulus"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2014","Suatolo"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.01","Makbon","96.01.01.2015","Mibi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2001","Klabra"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2002","Wanurian"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2003","Klarion"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2004","Kaas"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2005","Wensi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2006","Mumpi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2007","Klamak"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2008","Serselion"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2009","Kmafo"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2010","Midlal"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2011","Sorain"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2012","Armoin"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.02","Beraur","96.01.02.2013","Serselion Baru"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.1001","Katinim"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.1002","Majener"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.1003","Majaran"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.1004","Matawolot"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.2005","Walal"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.2006","Malaus"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.03","Salawati","96.01.03.2007","Rawa Sugi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2001","Seget"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2002","Malabam"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2003","Pulau Kasim"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2004","Kasimle"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2005","Wewenagu"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2006","Wasingsan"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2007","Klayas"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2008","Wayenkede"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.04","Seget","96.01.04.2009","Mobi"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1001","Aimas"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1002","Malawili"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1003","Malawele"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1004","Mariat Pantai"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1005","Mariat Gunung"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1007","Warmon"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1008","Klabinain"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1009","Malasom"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1010","Klaigit"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1012","Malagusa"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.1013","Klafma"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.2006","Maibo"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.2011","Aimo"
"96","Papua Barat Daya","96.01","Kabupaten Sorong","96.01.05","Aimas","96.01.05.2014","Malasaum"
