province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2001","Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2002","Muaro Sakai Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2003","Tiga Sepakat Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2004","Inderapura Barat"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2005","Kudo-Kudo Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2006","Inderapura Selatan"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2009","Simpang Lama Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2010","Tigo Sungai Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2011","Tluk Amplu Inderapura"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.01","Pancung Soal","13.01.01.2012","Inderapura Tengah"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2001","Pelangai"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2002","Sungai Tunu"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2003","Sungai Tunu Utara"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2004","Sungai Tunu Barat"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2005","Nyiur Melambai Pelangai"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2006","Sungai Liku Pelangai"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2007","Koto VIII Pelangai"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2008","Pelangai Gadang"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2009","Pelangai Kaciak"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.02","Ranah Pesisir","13.01.02.2010","Pasia Pelangai"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.03","Lengayang","13.01.03.2001","Kambang"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.03","Lengayang","13.01.03.2002","Lakitan"
"13","Sumatera Barat","13.01","Kabupaten Pesisir Selatan","13.01.03","Lengayang","13.01.03.2003","Kambang Utara"
