province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"14","Riau","14.01","Kabupaten Kampar","14.01.01","Bangkinang Kota","14.01.01.1011","Bangkinang"
"14","Riau","14.01","Kabupaten Kampar","14.01.01","Bangkinang Kota","14.01.01.1013","Langgini"
"14","Riau","14.01","Kabupaten Kampar","14.01.01","Bangkinang Kota","14.01.01.2009","Kumantan"
"14","Riau","14.01","Kabupaten Kampar","14.01.01","Bangkinang Kota","14.01.01.2010","Ridan Permai"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.1027","Air Tiris"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2001","Batu Belah"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2003","Tanjung Berulak"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2006","Ranah"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2007","Penyasawan"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2008","Rumbio"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2013","Padang Mutung"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2023","Pulau Jambu"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2024","Tanjung Rambutan"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2025","Simpang Kubu"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2028","Limau Manis"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2030","Naumbai"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2031","Pulau Tinggi"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2032","Ranah Baru"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2033","Bukit Ranah"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2034","Pulau Sarak"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2035","Koto Tibun"
"14","Riau","14.01","Kabupaten Kampar","14.01.02","Kampar","14.01.02.2036","Ranah Singkuang"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2001","Tambang"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2002","Kuapan"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2003","Gobah"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2004","Teluk Kenidai"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2005","Aursati"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2006","Padang Luas"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2007","Terantang"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2008","Kualu"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2009","Rimbo Panjang"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2010","Parit Baru"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2011","Kemang Indah"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2012","Kualu Nenas"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2013","Tarai Bangun"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2014","Sungai Pinang"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2015","Balam Jaya"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2016","Pulau Permai"
"14","Riau","14.01","Kabupaten Kampar","14.01.03","Tambang","14.01.03.2017","Palung Raya"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.1018","Batu Bersurat"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2004","Gunung Bungsu"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2005","Koto Tuo"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2006","Balung"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2007","Muara Takus"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2010","Pulau Gadang"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2011","Tanjung Alai"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2012","Ranah Sungkai"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2013","Lubuk Agung"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2014","Koto Mesjid"
"14","Riau","14.01","Kabupaten Kampar","14.01.04","XIII Koto Kampar","14.01.04.2016","Pongkai Istiqomah"
