province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2001","Tambakreja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2002","Bumireja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2003","Ciklapa"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2004","Kedungreja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2005","Tambaksari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2006","Rejamulya"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2007","Sidanegara"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2008","Kaliwungu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2009","Jatisari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2010","Bangunreja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.01","Kedungreja","33.01.01.2011","Bojongsari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2001","Menganti"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2002","Slarang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2003","Kesugihan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2004","Kalisabuk"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2005","Karangkandri"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2006","Kuripan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2007","Dondong"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2008","Planjan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2009","Ciwuni"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2010","Karangjengkol"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2011","Keleng"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2012","Pesanggrahan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2013","Bulupayung"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2014","Kuripan Kidul"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2015","Jangrana"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.02","Kesugihan","33.01.02.2016","Kesugihan Kidul"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2001","Welahan Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2002","Glempangpasir"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2003","Pedasong"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2004","Karangbenda"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2005","Karanganyar"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2006","Bunton"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2007","Wlahar"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2008","Penggalang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2009","Adipala"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2010","Adireja Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2011","Adireja Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2012","Adiraja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2013","Doplang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2014","Kalikudi"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2015","Karangsari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.03","Adipala","33.01.03.2016","Gombolharjo"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2001","Jati"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2002","Kepudang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2003","Jepara Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2004","Widarapayung Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2005","Jepara Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2006","Bangkal"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2007","Binangun"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2008","Widarapayung Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2009","Alangamba"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2010","Pasuruhan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2011","Sidaurip"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2012","Pagubugan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2013","Pesawahan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2014","Kemojing"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2015","Karangnangka"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2016","Sidayu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.04","Binangun","33.01.04.2017","Pagubugan Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2001","Karangtawang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2002","Karangpakis"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2003","Banjarsari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2004","Jetis"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2005","Banjareja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2006","Kedungbenda"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2007","Klumprit"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2008","Karangsembung"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2009","Purwodadi"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2010","Nusawangkal"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2011","Karangputat"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2012","Banjarwaru"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2013","Danasri Kidul"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2014","Nusawungu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2015","Danasri Lor"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2016","Danasri"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.05","Nusawungu","33.01.05.2017","Sikanco"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2001","Sikampuh"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2002","Pekuncen"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2003","Ayamalas"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2004","Pesanggrahan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2005","Kroya"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2006","Karangmangu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2007","Pucung Kidul"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2008","Mergawati"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2009","Pucung Lor"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2010","Bajing"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2011","Gentasari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2012","Kedawung"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2013","Mujur"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2014","Buntu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2015","Karangturi"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2016","Bajing Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.06","Kroya","33.01.06.2017","Mujur Lor"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2001","Karangkemiri"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2002","Karangrena"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2003","Maos Kidul"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2004","Maos Lor"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2005","Kalijaran"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2006","Mernek"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2007","Panisihan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2008","Glempang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2009","Karangreja"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.07","Maos","33.01.07.2010","Klapagada"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2001","Tritih Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2002","Sumingkir"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2003","Jeruklegi Wetan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2004","Brebeg"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2005","Jeruklegi Kulon"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2006","Cilibang"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2007","Mandala"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2008","Karangkemiri"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2009","Jambusari"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2010","Prapagan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2011","Sawangan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2012","Citepus"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.08","Jeruklegi","33.01.08.2013","Tritih Lor"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2001","Grugu"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2002","Bringkeng"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2003","Ujungmanik"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2004","Kubangkangkung"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2005","Bojong"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2006","Mentasan"
"33","Jawa Tengah","33.01","Kabupaten Cilacap","33.01.09","Kawunganten","33.01.09.2007","Kalijeruk"
