province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.1006","Baler Bale Agung"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.1008","Banjar Tengah"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.1013","Lelateng"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.1014","Loloan Barat"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2001","Cupel"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2002","Baluk"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2003","Banyubiru"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2004","Kaliakah"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2005","Berangbang"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2009","Tegal Badeng Timur"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2010","Tegal Badeng Barat"
"51","Bali","51.01","Kabupaten Jembrana","51.01.01","Negara","51.01.01.2011","Pengambengan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.1006","Tegalcangkring"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2001","Mendoyo Dauh Tukad"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2002","Pohsanten"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2003","Mendoyo Dangin Tukad"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2004","Pergung"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2005","Delodberawah"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2007","Penyaringan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2008","Yehembang"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2009","Yeh Sumbul"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2010","Yehembang Kauh"
"51","Bali","51.01","Kabupaten Jembrana","51.01.02","Mendoyo","51.01.02.2011","Yehembang Kangin"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2001","Medewi"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2002","Pulukan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2003","Asahduren"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2004","Pekutatan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2005","Pangyangan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2006","Gumbrih"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2007","Manggissari"
"51","Bali","51.01","Kabupaten Jembrana","51.01.03","Pekutatan","51.01.03.2008","Pengeragoan"
"51","Bali","51.01","Kabupaten Jembrana","51.01.04","Melaya","51.01.04.1001","Gilimanuk"
"51","Bali","51.01","Kabupaten Jembrana","51.01.04","Melaya","51.01.04.2002","Melaya"
