province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1001","Wonorejo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1002","Kali Bobo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1003","Morgo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1004","Girimulyo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1005","Karang Tumaritis"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1006","Oyehe"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1007","Karang Mulia"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1008","Nabarua"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.1009","Siriwini"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.2010","Kalisusu"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.2011","Kali Harapan"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.01","Nabire","94.01.01.2012","Sanoba"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.02","Napan","94.01.02.2001","Napan"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.02","Napan","94.01.02.2002","Masipawa"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.02","Napan","94.01.02.2003","Weinami"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.03","Yaur","94.01.03.2001","Yaur"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.03","Yaur","94.01.03.2002","Akudiomi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.03","Yaur","94.01.03.2003","Sima"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.03","Yaur","94.01.03.2004","Wami"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2001","Topo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2002","Urumusu"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2003","Marga Jaya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2004","Argo Mulyo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2005","Topo Jaya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.04","Uwapa","94.01.04.2006","Gamei Jaya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.05","Wanggar","94.01.05.2001","Bumi Mulia"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.05","Wanggar","94.01.05.2002","Karadiri"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.05","Wanggar","94.01.05.2003","Wanggar Makmur"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2001","Unipo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2002","Aibore"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2003","Epomani"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2004","Tibai"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2005","Mabou"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.06","Siriwo","94.01.06.2006","Ugida"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2001","Makimi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2002","Nifasi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2003","Biha"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2004","Lagari Jaya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2005","Maidei"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.07","Makimi","94.01.07.2006","Manunggal Jaya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.08","Teluk Umar","94.01.08.2001","Napan Yaur"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.08","Teluk Umar","94.01.08.2002","Yeretuar"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.08","Teluk Umar","94.01.08.2003","Bawei"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.08","Teluk Umar","94.01.08.2004","Goni"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.09","Teluk Kimi","94.01.09.2001","Samabusa"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.09","Teluk Kimi","94.01.09.2002","Waharia"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.09","Teluk Kimi","94.01.09.2003","Kimi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.09","Teluk Kimi","94.01.09.2004","Lani"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.09","Teluk Kimi","94.01.09.2005","Air Mandidi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2001","Wanggar Sari"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2002","Wiraska"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2003","Yaro Makmur"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2004","Jaya Mukti"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2005","Wanggar Pantai"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2006","Ororodo"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2007","Bomopai"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.10","Yaro","94.01.10.2008","Parauto"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.11","Wapoga","94.01.11.2001","Totoberi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.11","Wapoga","94.01.11.2002","Samanui"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.11","Wapoga","94.01.11.2003","Kamarisano"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.11","Wapoga","94.01.11.2004","Taumi"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.11","Wapoga","94.01.11.2005","Keuw"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.12","Nabire Barat","94.01.12.2001","Bumi Raya"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.12","Nabire Barat","94.01.12.2002","Waroki"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.12","Nabire Barat","94.01.12.2003","Gerbang Sadu"
"94","Papua Tengah","94.01","Kabupaten Nabire","94.01.12","Nabire Barat","94.01.12.2004","Kali Semen"
